subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	44	1	sound	right			False	1	right	192.873234152	-11.8614462293	0.6	0.083	294.900704161	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	45	1	frame	right	200	0	False	1	right	218.063806274	0.707978901531	0.6	0.083	404.370022879	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	46	1	frame	left	-200	0	False	1	left	-213.931574076	-19.6640181973	0.6	0.083	311.007252953	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	47	0					False	1	left	-188.528086009	-7.80943059285	0.6	0.083	371.032777315	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	48	1	frame	right	200	0	False	1	right	218.489329954	-2.56103073928	0.6	0.083	336.265294245	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	49	1	frame	left	-200	0	False	0					0.083	1080.09135116		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	50	1	sound	right			False	0					0.083	1085.35570139		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	51	1	frame	right	200	0	False	1	right	197.573024913	18.7775992724	0.6	0.083	369.378334086	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	52	0					False	1	right	176.851583931	-10.3875964829	0.6	0.083	322.209740349	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	53	1	frame	left	-200	0	False	1	left	-195.201457615	-5.6456738785	0.6	0.083	312.453867242	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	54	0					False	1	right	178.117729118	-10.0780316249	0.6	0.083	502.580705288	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	55	1	sound	left			False	1	left	-211.05735959	-20.8718642719	0.6	0.083	294.441374877	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	56	1	sound	right			False	1	right	176.954537762	-17.8426942957	0.6	0.083	355.70685433	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	57	1	sound	left			False	1	left	-194.995891012	18.4361352472	0.6	0.083	336.170932875	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	58	0					False	0					0.083	1079.54116983		nogo	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	59	1	frame	left	-200	0	False	1	left	-223.939437353	-11.3653131781	0.6	0.083	338.159150182	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	60	1	sound	right			False	1	right	206.94779928	1.57915903296	0.6	0.083	428.025090761	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	61	0					False	1	right	199.665652797	20.9441803598	0.6	0.083	385.820996496	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	62	1	frame	left	-200	0	False	1	left	-212.921460069	-11.7677277504	0.6	0.083	315.97565164	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	63	0					False	1	right	209.508007724	-5.23624901945	0.6	0.083	324.370303613	 	go	1	0.1
SPC611	2015_May_07_1335	LL-Kramer	PME	cueing_effect	64	0					False	1	right	181.615960428	14.7166959843	0.6	0.083	316.121092925	 	go	1	0.1
