subj_id	date	computer	experimenter	part	trial_ix	cue_present	cue_type	cue_loc	cue_pos_x	cue_pos_y	mask_flicker	target_present	target_loc	target_pos_x	target_pos_y	target_opacity	target_duration	rt	key	response	is_correct
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	79	0					False	1	right	201.748974855	0.0078273391367	0.6	0.083	270.643595184	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	80	0					False	1	right	188.929743909	-19.53098548	0.6	0.083	303.068031033	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	81	1	frame	right	200	0	False	1	right	185.483952375	-11.8147278301	0.6	0.083	303.586628594	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	82	0					False	1	right	208.615815374	-8.58731758292	0.6	0.083	289.020665528	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	83	1	sound	left			False	1	left	-205.808473957	15.1621625321	0.6	0.083	261.361478493	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	84	1	frame	right	200	0	False	1	right	215.754119781	6.0517741404	0.6	0.083	295.276979843	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	85	0					False	1	left	-201.501143741	18.541282704	0.6	0.083	254.331556978	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	86	0					False	1	left	-198.07083093	-15.5551994703	0.6	0.083	310.241834144	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	87	1	frame	right	200	0	False	1	right	185.598194397	0.326593884229	0.6	0.083	296.208505853	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	88	1	sound	left			False	0					0.083	1082.83601905		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	89	0					False	1	left	-220.056944069	-16.4634545945	0.6	0.083	285.851761408	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	90	1	sound	left			False	1	left	-193.241187765	12.2509461287	0.6	0.083	306.454902093	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	91	1	frame	left	-200	0	False	1	left	-178.2781611	14.6440429328	0.6	0.083	280.926644176	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	92	0					False	1	left	-200.856679618	1.97628547468	0.6	0.083	289.383293901	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	93	1	frame	left	-200	0	False	1	left	-210.273289126	-3.93954404116	0.6	0.083	249.490663104	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	94	1	frame	left	-200	0	False	1	left	-199.698052009	-13.6329500964	0.6	0.083	295.194316175	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	95	1	frame	left	-200	0	False	1	left	-187.303201486	8.62673152653	0.6	0.083	302.78884618	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	96	1	frame	right	200	0	False	1	right	205.348739185	13.8767985186	0.6	0.083	335.916313168	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	97	1	frame	left	-200	0	False	1	left	-218.175739388	-21.7526525621	0.6	0.083	383.208512489	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	98	0					False	1	left	-197.770296692	12.6755634342	0.6	0.083	381.012076308	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	99	1	sound	right			False	1	right	207.519456614	17.2876519649	0.6	0.083	410.103060538	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	100	1	sound	right			False	1	right	202.164297932	15.1037199365	0.6	0.083	305.346351044	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	101	1	sound	right			False	1	right	219.196948534	-10.7804641457	0.6	0.083	336.211484857	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	102	1	frame	left	-200	0	False	1	left	-189.654509504	17.3663523848	0.6	0.083	290.586596253	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	103	0					False	1	right	217.396866766	12.9625991434	0.6	0.083	273.617927727	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	104	0					False	0					0.083	1086.65726433		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	105	1	sound	right			False	1	right	221.196558872	20.9287108372	0.6	0.083	261.288172973	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	106	1	sound	right			False	0					0.083	1085.2710881		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	107	1	frame	left	-200	0	False	1	left	-185.288000289	-20.1952856094	0.6	0.083	145.534075564	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	108	0					False	1	right	178.104692112	12.0041329052	0.6	0.083	339.562093082	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	109	1	sound	left			False	0					0.083	1086.08602715		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	110	1	sound	right			False	1	right	208.940291989	7.58745931811	0.6	0.083	1085.78032753		nogo	0	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	111	1	frame	right	200	0	False	1	right	206.306352437	-3.20094962074	0.6	0.083	268.608977043	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	112	1	frame	right	200	0	False	1	right	208.459677199	-16.5868222578	0.6	0.083	189.660490156	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	113	1	sound	right			False	1	right	182.605896633	19.7051188371	0.6	0.083	235.619152867	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	114	1	sound	right			False	1	right	179.149350232	13.237252256	0.6	0.083	273.395281693	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	115	1	sound	right			False	1	right	200.954445423	-0.223215983009	0.6	0.083	252.041929198	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	116	0					False	1	left	-221.186544794	-14.3257515245	0.6	0.083	294.958412764	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	117	1	frame	left	-200	0	False	1	left	-211.183099663	-18.7548227107	0.6	0.083	161.204690463	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	118	0					False	1	left	-182.327375501	-16.9796408354	0.6	0.083	353.076823783	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	119	0					False	1	left	-219.688182059	-1.61959135423	0.6	0.083	280.215034727	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	120	1	sound	right			False	1	right	191.218703863	3.13580036316	0.6	0.083	237.397981517	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	121	0					False	1	right	208.377254908	22.1025598683	0.6	0.083	245.587534009	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	122	0					False	1	left	-202.963926596	6.61529206137	0.6	0.083	350.499822787	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	123	1	sound	left			False	1	left	-190.09569616	4.73684057946	0.6	0.083	318.155711066	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	124	1	sound	right			False	1	right	184.867076746	-23.169956263	0.6	0.083	177.496062752	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	125	1	frame	left	-200	0	False	1	left	-222.027269051	22.5686324852	0.6	0.083	136.219595268	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	126	1	frame	left	-200	0	False	1	left	-180.296260582	-15.5168893193	0.6	0.083	552.300955038	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	127	1	sound	left			False	1	left	-199.784486225	-23.4791531968	0.6	0.083	277.057828294	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	128	1	frame	right	200	0	False	1	right	200.265893617	-3.3834902096	0.6	0.083	277.391212454	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	129	1	frame	right	200	0	False	0					0.083	209.059158733	 	go	0	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	130	1	sound	right			False	1	right	215.445749084	7.94779446974	0.6	0.083	243.111133124	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	131	1	sound	left			False	1	left	-212.21282728	0.352062852848	0.6	0.083	344.169033182	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	132	0					False	0					0.083	1082.13844684		nogo	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	133	1	sound	right			False	1	right	179.944241652	-12.9682483671	0.6	0.083	239.768713276	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	134	1	sound	right			False	1	right	178.236463519	-10.6944522718	0.6	0.083	235.671012619	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	135	1	frame	left	-200	0	False	1	left	-213.116160133	2.51302492389	0.6	0.083	318.98312764	 	go	1	0.1
SPC609	2015_May_07_1003	LL-Kramer	PME	cueing_effect	136	1	frame	left	-200	0	False	1	left	-177.824085683	11.5515585358	0.6	0.083	239.829541271	 	go	1	0.1
